Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-December-2017,34.35,34.65,33.20,33.70,33.979526191626978749,1667594,1962,56664054.00,254519,15.26,1.45,-0.65
1-December-2017,35.70,36.55,33.75,34.15,35.542857906924340187,2281026,2902,81074183.00,295424,12.95,2.80,-1.55
30-November-2017,35.90,36.00,35.25,35.50,35.568566935274906551,779574,1471,27728330.00,127843,16.40,0.75,-0.40
29-November-2017,36.60,36.80,35.75,35.95,36.212375602205970727,1089951,1482,39469715.00,255690,23.46,1.05,-0.65
28-November-2017,36.55,37.10,36.15,36.55,36.633336459630843689,1290131,3047,47261803.00,315411,24.45,0.95,0.00
27-November-2017,35.30,36.70,34.95,36.55,36.032925115572689797,1497975,2437,53976421.00,529458,35.34,1.75,1.25
24-November-2017,35.45,35.60,35.00,35.40,35.281475950057471117,784742,1238,27686856.00,358913,45.74,0.60,-0.05
23-November-2017,35.55,35.55,34.70,35.15,35.136769079303344548,983212,2371,34546893.00,276212,28.09,0.85,-0.40
22-November-2017,34.75,35.80,34.35,35.45,35.166476802879049490,1511610,3489,53157998.00,373528,24.71,1.45,0.70
21-November-2017,35.40,35.40,34.00,34.35,34.605206638869671982,802245,1550,27761854.00,193961,24.18,1.40,-1.05
20-November-2017,34.25,35.35,33.70,35.05,34.565513125243507979,1529724,2178,52875695.00,357966,23.40,1.65,0.80
17-November-2017,33.75,34.60,32.70,34.20,33.707968553319338173,1484799,2905,50049558.00,377972,25.46,1.90,0.45
16-November-2017,32.10,33.30,32.05,33.10,32.697151050205635095,821601,1793,26864012.00,154821,18.84,1.25,1.00
15-November-2017,33.00,33.50,31.35,32.10,32.457500737977562183,1212774,3110,39363613.00,204191,16.84,2.15,-0.90
14-November-2017,33.75,34.10,33.40,33.55,33.677072971256384006,689614,1391,23224181.00,192428,27.90,0.70,-0.20
13-November-2017,36.00,36.40,33.60,33.90,34.581009621459996772,2057484,3271,71149874.00,564294,27.43,2.80,-2.10
10-November-2017,34.05,34.80,33.65,34.55,34.315973925450662588,1608465,1936,55196043.00,330783,20.57,1.15,0.50
9-November-2017,34.05,34.75,32.80,34.15,33.806426353141523455,1841511,2314,62254906.00,162615,8.83,1.95,0.10
8-November-2017,34.05,35.10,33.50,33.85,34.351408068663470486,1133645,2010,38942302.00,190443,16.80,1.60,-0.20
7-November-2017,35.85,36.20,33.25,33.80,34.387730932826407290,1866939,3042,64199796.00,408090,21.86,2.95,-2.05
6-November-2017,34.50,36.05,34.30,35.65,35.256635817628957125,2188615,4103,77163202.00,671445,30.68,1.75,1.15
3-November-2017,34.05,34.70,33.60,34.50,34.137256158387987414,1950754,2999,66593389.00,513712,26.33,1.10,0.45
2-November-2017,33.00,34.00,32.80,33.65,33.351938526497957928,1613313,2332,53807116.00,421569,26.13,1.20,0.65
1-November-2017,32.80,33.25,32.40,32.65,32.830186617312764378,1564753,1526,51371133.00,200487,12.81,0.85,-0.15
31-October-2017,33.50,33.55,32.00,32.80,32.666743506847871495,2125624,2429,69437214.00,319641,15.04,1.55,-0.70
30-October-2017,33.00,33.90,32.60,33.45,33.418885100726656264,1808558,2617,60439992.00,484083,26.77,1.30,0.45
